artist,year,title,genre,faces,black_1,black_2,black_3,white_1,white_2,white_3,red_1,red_2,red_3,lime_1,lime_2,lime_3,blue_1,blue_2,blue_3,yellow_1,yellow_2,yellow_3,cyan_1,cyan_2,cyan_3,magenta_1,magenta_2,magenta_3,silver_1,silver_2,silver_3,gray_1,gray_2,gray_3,maroon_1,maroon_2,maroon_3,olive_1,olive_2,olive_3,green_1,green_2,green_3,purple_1,purple_2,purple_3,teal_1,teal_2,teal_3,navy_1,navy_2,navy_3
Adele,2018,19,Funk / Soul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0.0004,0.0171,0.0345,0.0183,0.0264,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moe Bandy,1980,Following The Feeling,"Folk, World, & Country",0,0.324,0.0782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1357,0.1562,0.0941,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mandy Moore,2009,Amanda Leigh,Rock,1,0.3061,0.1595,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1364,0,0,0.1443,0.124,0.0897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince,1988,Lovesexy ,Funk / Soul,1,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1796,0.2215,0.0769,0,0,0,0.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etta James,1966,Call My Name,Funk / Soul,0,0.0392,0,0,0.0018,0,0,0.0965,0.1276,0,0,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0.0438,0.0054,0,0.2198,0.0857,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christine,1995,Underneath The Lone Star Sky,"Folk, World, & Country",1,0.1346,0.0365,0.0149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701,0,0,0.0474,0.0314,0,0.0098,0,0,0,0,0,0,0,0,0.0067,0,0,0.0342,0.024,0
The Weeknd,2017,Starboy,Electronic,0,0.5089,0.0047,0,0,0,0,0.1001,0,0,0,0,0,0.0012,0,0,0.0218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.003,0,0,0,0,0,0,0,0,0,0,0.0147,0.0067,0.0037
Steppenwolf,1976,Skullduggery,Rock,0,0.3979,0.0449,0.0735,0.0706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0,0,0.0382,0.0179,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2569,0,0
The Beach Boys,1970,Sunflower,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.0644,0.0182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351,0,0
Gomez,2009,Pine Sticks And Phosphorus,Rock,0,0.1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0.0002,0,0,0.0934,0.0413,0.0243,0.0292,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0
